ID,Model,HGNC,Transcription_factor,Model_length,Quality,TF_family,EntrezGene,UniProt_ID,TFclass
PATZ1_HUMAN.H11MO.1.C,PATZ1_HUMAN.H11MO.1.C,PATZ1,PATZ1,9,C,Factors with multiple dispersed zinc fingers{2.3.4},23598,PATZ1_HUMAN,2.3.4
PAX1_HUMAN.H11MO.0.D,PAX1_HUMAN.H11MO.0.D,PAX1,PAX1,17,D,Paired domain only{3.2.2},5075,PAX1_HUMAN,3.2.2
PAX2_HUMAN.H11MO.0.D,PAX2_HUMAN.H11MO.0.D,PAX2,PAX2,18,D,Paired domain only{3.2.2},5076,PAX2_HUMAN,3.2.2
PAX3_HUMAN.H11MO.0.D,PAX3_HUMAN.H11MO.0.D,PAX3,PAX3,13,D,Paired plus homeo domain{3.2.1},5077,PAX3_HUMAN,3.2.1
PAX4_HUMAN.H11MO.0.D,PAX4_HUMAN.H11MO.0.D,PAX4,PAX4,12,D,Paired plus homeo domain{3.2.1},5078,PAX4_HUMAN,3.2.1
PAX5_HUMAN.H11MO.0.A,PAX5_HUMAN.H11MO.0.A,PAX5,PAX5,21,A,Paired domain only{3.2.2},5079,PAX5_HUMAN,3.2.2
PAX6_HUMAN.H11MO.0.C,PAX6_HUMAN.H11MO.0.C,PAX6,PAX6,12,C,Paired plus homeo domain{3.2.1},5080,PAX6_HUMAN,3.2.1
PAX7_HUMAN.H11MO.0.D,PAX7_HUMAN.H11MO.0.D,PAX7,PAX7,11,D,Paired plus homeo domain{3.2.1},5081,PAX7_HUMAN,3.2.1
PAX8_HUMAN.H11MO.0.D,PAX8_HUMAN.H11MO.0.D,PAX8,PAX8,14,D,Paired domain only{3.2.2},7849,PAX8_HUMAN,3.2.2
PBX1_HUMAN.H11MO.0.A,PBX1_HUMAN.H11MO.0.A,PBX1,PBX1,10,A,TALE-type homeo domain factors{3.1.4},5087,PBX1_HUMAN,3.1.4
PBX1_HUMAN.H11MO.1.C,PBX1_HUMAN.H11MO.1.C,PBX1,PBX1,15,C,TALE-type homeo domain factors{3.1.4},5087,PBX1_HUMAN,3.1.4
PBX2_HUMAN.H11MO.0.C,PBX2_HUMAN.H11MO.0.C,PBX2,PBX2,15,C,TALE-type homeo domain factors{3.1.4},5089,PBX2_HUMAN,3.1.4
PBX3_HUMAN.H11MO.0.A,PBX3_HUMAN.H11MO.0.A,PBX3,PBX3,11,A,TALE-type homeo domain factors{3.1.4},5090,PBX3_HUMAN,3.1.4
PBX3_HUMAN.H11MO.1.A,PBX3_HUMAN.H11MO.1.A,PBX3,PBX3,9,A,TALE-type homeo domain factors{3.1.4},5090,PBX3_HUMAN,3.1.4
PDX1_HUMAN.H11MO.0.A,PDX1_HUMAN.H11MO.0.A,PDX1,PDX1,9,A,HOX-related factors{3.1.1},3651,PDX1_HUMAN,3.1.1
PDX1_HUMAN.H11MO.1.A,PDX1_HUMAN.H11MO.1.A,PDX1,PDX1,9,A,HOX-related factors{3.1.1},3651,PDX1_HUMAN,3.1.1
PEBB_HUMAN.H11MO.0.C,PEBB_HUMAN.H11MO.0.C,CBFB,CBFB,11,C,,865,PEBB_HUMAN,
PHX2A_HUMAN.H11MO.0.D,PHX2A_HUMAN.H11MO.0.D,PHOX2A,PHOX2A,11,D,Paired-related HD factors{3.1.3},401,PHX2A_HUMAN,3.1.3
PHX2B_HUMAN.H11MO.0.D,PHX2B_HUMAN.H11MO.0.D,PHOX2B,PHOX2B,11,D,Paired-related HD factors{3.1.3},8929,PHX2B_HUMAN,3.1.3
PIT1_HUMAN.H11MO.0.C,PIT1_HUMAN.H11MO.0.C,POU1F1,POU1F1,13,C,POU domain factors{3.1.10},5449,PIT1_HUMAN,3.1.10
PITX1_HUMAN.H11MO.0.D,PITX1_HUMAN.H11MO.0.D,PITX1,PITX1,9,D,Paired-related HD factors{3.1.3},5307,PITX1_HUMAN,3.1.3
PITX2_HUMAN.H11MO.0.D,PITX2_HUMAN.H11MO.0.D,PITX2,PITX2,10,D,Paired-related HD factors{3.1.3},5308,PITX2_HUMAN,3.1.3
PITX3_HUMAN.H11MO.0.D,PITX3_HUMAN.H11MO.0.D,PITX3,PITX3,18,D,Paired-related HD factors{3.1.3},5309,PITX3_HUMAN,3.1.3
PKNX1_HUMAN.H11MO.0.B,PKNX1_HUMAN.H11MO.0.B,PKNOX1,PKNOX1,11,B,TALE-type homeo domain factors{3.1.4},5316,PKNX1_HUMAN,3.1.4
PLAG1_HUMAN.H11MO.0.D,PLAG1_HUMAN.H11MO.0.D,PLAG1,PLAG1,17,D,More than 3 adjacent zinc finger factors{2.3.3},5324,PLAG1_HUMAN,2.3.3
PLAL1_HUMAN.H11MO.0.D,PLAL1_HUMAN.H11MO.0.D,PLAGL1,PLAGL1,10,D,More than 3 adjacent zinc finger factors{2.3.3},5325,PLAL1_HUMAN,2.3.3
PO2F1_HUMAN.H11MO.0.C,PO2F1_HUMAN.H11MO.0.C,POU2F1,POU2F1,16,C,POU domain factors{3.1.10},5451,PO2F1_HUMAN,3.1.10
PO2F2_HUMAN.H11MO.0.A,PO2F2_HUMAN.H11MO.0.A,POU2F2,POU2F2,11,A,POU domain factors{3.1.10},5452,PO2F2_HUMAN,3.1.10
PO2F3_HUMAN.H11MO.0.D,PO2F3_HUMAN.H11MO.0.D,POU2F3,POU2F3,14,D,POU domain factors{3.1.10},25833,PO2F3_HUMAN,3.1.10
PO3F1_HUMAN.H11MO.0.C,PO3F1_HUMAN.H11MO.0.C,POU3F1,POU3F1,14,C,POU domain factors{3.1.10},5453,PO3F1_HUMAN,3.1.10
PO3F2_HUMAN.H11MO.0.A,PO3F2_HUMAN.H11MO.0.A,POU3F2,POU3F2,17,A,POU domain factors{3.1.10},5454,PO3F2_HUMAN,3.1.10
PO3F3_HUMAN.H11MO.0.D,PO3F3_HUMAN.H11MO.0.D,POU3F3,POU3F3,17,D,POU domain factors{3.1.10},5455,PO3F3_HUMAN,3.1.10
PO3F4_HUMAN.H11MO.0.D,PO3F4_HUMAN.H11MO.0.D,POU3F4,POU3F4,17,D,POU domain factors{3.1.10},5456,PO3F4_HUMAN,3.1.10
PO4F1_HUMAN.H11MO.0.D,PO4F1_HUMAN.H11MO.0.D,POU4F1,POU4F1,14,D,POU domain factors{3.1.10},5457,PO4F1_HUMAN,3.1.10
PO4F2_HUMAN.H11MO.0.D,PO4F2_HUMAN.H11MO.0.D,POU4F2,POU4F2,13,D,POU domain factors{3.1.10},5458,PO4F2_HUMAN,3.1.10
PO4F3_HUMAN.H11MO.0.D,PO4F3_HUMAN.H11MO.0.D,POU4F3,POU4F3,15,D,POU domain factors{3.1.10},5459,PO4F3_HUMAN,3.1.10
PO5F1_HUMAN.H11MO.0.A,PO5F1_HUMAN.H11MO.0.A,POU5F1,POU5F1,16,A,POU domain factors{3.1.10},5460,PO5F1_HUMAN,3.1.10
PO5F1_HUMAN.H11MO.1.A,PO5F1_HUMAN.H11MO.1.A,POU5F1,POU5F1,10,A,POU domain factors{3.1.10},5460,PO5F1_HUMAN,3.1.10
PO6F1_HUMAN.H11MO.0.D,PO6F1_HUMAN.H11MO.0.D,POU6F1,POU6F1,13,D,POU domain factors{3.1.10},5463,PO6F1_HUMAN,3.1.10
PO6F2_HUMAN.H11MO.0.D,PO6F2_HUMAN.H11MO.0.D,POU6F2,POU6F2,11,D,POU domain factors{3.1.10},11281,PO6F2_HUMAN,3.1.10
PPARA_HUMAN.H11MO.0.B,PPARA_HUMAN.H11MO.0.B,PPARA,PPARA,17,B,Thyroid hormone receptor-related factors (NR1){2.1.2},5465,PPARA_HUMAN,2.1.2
PPARA_HUMAN.H11MO.1.B,PPARA_HUMAN.H11MO.1.B,PPARA,PPARA,9,B,Thyroid hormone receptor-related factors (NR1){2.1.2},5465,PPARA_HUMAN,2.1.2
PPARD_HUMAN.H11MO.0.D,PPARD_HUMAN.H11MO.0.D,PPARD,PPARD,14,D,Thyroid hormone receptor-related factors (NR1){2.1.2},5467,PPARD_HUMAN,2.1.2
PPARG_HUMAN.H11MO.0.A,PPARG_HUMAN.H11MO.0.A,PPARG,PPARG,17,A,Thyroid hormone receptor-related factors (NR1){2.1.2},5468,PPARG_HUMAN,2.1.2
PPARG_HUMAN.H11MO.1.A,PPARG_HUMAN.H11MO.1.A,PPARG,PPARG,9,A,Thyroid hormone receptor-related factors (NR1){2.1.2},5468,PPARG_HUMAN,2.1.2
PRD14_HUMAN.H11MO.0.A,PRD14_HUMAN.H11MO.0.A,PRDM14,PRDM14,14,A,More than 3 adjacent zinc finger factors{2.3.3},63978,PRD14_HUMAN,2.3.3
PRDM1_HUMAN.H11MO.0.A,PRDM1_HUMAN.H11MO.0.A,PRDM1,PRDM1,14,A,More than 3 adjacent zinc finger factors{2.3.3},639,PRDM1_HUMAN,2.3.3
PRDM4_HUMAN.H11MO.0.D,PRDM4_HUMAN.H11MO.0.D,PRDM4,PRDM4,16,D,Factors with multiple dispersed zinc fingers{2.3.4},11108,PRDM4_HUMAN,2.3.4
PRDM6_HUMAN.H11MO.0.C,PRDM6_HUMAN.H11MO.0.C,PRDM6,PRDM6,13,C,More than 3 adjacent zinc finger factors{2.3.3},93166,PRDM6_HUMAN,2.3.3
PRGR_HUMAN.H11MO.0.A,PRGR_HUMAN.H11MO.0.A,PGR,PGR,16,A,Steroid hormone receptors (NR3){2.1.1},5241,PRGR_HUMAN,2.1.1
PRGR_HUMAN.H11MO.1.A,PRGR_HUMAN.H11MO.1.A,PGR,PGR,9,A,Steroid hormone receptors (NR3){2.1.1},5241,PRGR_HUMAN,2.1.1
PROP1_HUMAN.H11MO.0.D,PROP1_HUMAN.H11MO.0.D,PROP1,PROP1,11,D,Paired-related HD factors{3.1.3},5626,PROP1_HUMAN,3.1.3
PROX1_HUMAN.H11MO.0.D,PROX1_HUMAN.H11MO.0.D,PROX1,PROX1,17,D,HD-PROS factors{3.1.7},5629,PROX1_HUMAN,3.1.7
PRRX1_HUMAN.H11MO.0.D,PRRX1_HUMAN.H11MO.0.D,PRRX1,PRRX1,7,D,Paired-related HD factors{3.1.3},5396,PRRX1_HUMAN,3.1.3
PRRX2_HUMAN.H11MO.0.C,PRRX2_HUMAN.H11MO.0.C,PRRX2,PRRX2,7,C,Paired-related HD factors{3.1.3},51450,PRRX2_HUMAN,3.1.3
PTF1A_HUMAN.H11MO.0.B,PTF1A_HUMAN.H11MO.0.B,PTF1A,PTF1A,18,B,Tal-related factors{1.2.3},256297,PTF1A_HUMAN,1.2.3
PTF1A_HUMAN.H11MO.1.B,PTF1A_HUMAN.H11MO.1.B,PTF1A,PTF1A,9,B,Tal-related factors{1.2.3},256297,PTF1A_HUMAN,1.2.3
PURA_HUMAN.H11MO.0.D,PURA_HUMAN.H11MO.0.D,PURA,PURA,17,D,PUR{0.0.5},5813,PURA_HUMAN,0.0.5
RARA_HUMAN.H11MO.0.A,RARA_HUMAN.H11MO.0.A,RARA,RARA,20,A,Thyroid hormone receptor-related factors (NR1){2.1.2},5914,RARA_HUMAN,2.1.2
RARA_HUMAN.H11MO.1.A,RARA_HUMAN.H11MO.1.A,RARA,RARA,10,A,Thyroid hormone receptor-related factors (NR1){2.1.2},5914,RARA_HUMAN,2.1.2
RARA_HUMAN.H11MO.2.A,RARA_HUMAN.H11MO.2.A,RARA,RARA,17,A,Thyroid hormone receptor-related factors (NR1){2.1.2},5914,RARA_HUMAN,2.1.2
RARB_HUMAN.H11MO.0.D,RARB_HUMAN.H11MO.0.D,RARB,RARB,11,D,Thyroid hormone receptor-related factors (NR1){2.1.2},5915,RARB_HUMAN,2.1.2
RARG_HUMAN.H11MO.0.B,RARG_HUMAN.H11MO.0.B,RARG,RARG,18,B,Thyroid hormone receptor-related factors (NR1){2.1.2},5916,RARG_HUMAN,2.1.2
RARG_HUMAN.H11MO.1.B,RARG_HUMAN.H11MO.1.B,RARG,RARG,8,B,Thyroid hormone receptor-related factors (NR1){2.1.2},5916,RARG_HUMAN,2.1.2
RARG_HUMAN.H11MO.2.D,RARG_HUMAN.H11MO.2.D,RARG,RARG,20,D,Thyroid hormone receptor-related factors (NR1){2.1.2},5916,RARG_HUMAN,2.1.2
RAX2_HUMAN.H11MO.0.D,RAX2_HUMAN.H11MO.0.D,RAX2,RAX2,12,D,Paired-related HD factors{3.1.3},84839,RAX2_HUMAN,3.1.3
RELB_HUMAN.H11MO.0.C,RELB_HUMAN.H11MO.0.C,RELB,RELB,12,C,NF-kappaB-related factors{6.1.1},5971,RELB_HUMAN,6.1.1
REL_HUMAN.H11MO.0.B,REL_HUMAN.H11MO.0.B,REL,REL,15,B,NF-kappaB-related factors{6.1.1},5966,REL_HUMAN,6.1.1
REST_HUMAN.H11MO.0.A,REST_HUMAN.H11MO.0.A,REST,REST,22,A,Factors with multiple dispersed zinc fingers{2.3.4},5978,REST_HUMAN,2.3.4
RFX1_HUMAN.H11MO.0.B,RFX1_HUMAN.H11MO.0.B,RFX1,RFX1,22,B,RFX-related factors{3.3.3},5989,RFX1_HUMAN,3.3.3
RFX1_HUMAN.H11MO.1.B,RFX1_HUMAN.H11MO.1.B,RFX1,RFX1,11,B,RFX-related factors{3.3.3},5989,RFX1_HUMAN,3.3.3
RFX2_HUMAN.H11MO.0.A,RFX2_HUMAN.H11MO.0.A,RFX2,RFX2,18,A,RFX-related factors{3.3.3},5990,RFX2_HUMAN,3.3.3
RFX2_HUMAN.H11MO.1.A,RFX2_HUMAN.H11MO.1.A,RFX2,RFX2,12,A,RFX-related factors{3.3.3},5990,RFX2_HUMAN,3.3.3
RFX3_HUMAN.H11MO.0.B,RFX3_HUMAN.H11MO.0.B,RFX3,RFX3,14,B,RFX-related factors{3.3.3},5991,RFX3_HUMAN,3.3.3
RFX4_HUMAN.H11MO.0.D,RFX4_HUMAN.H11MO.0.D,RFX4,RFX4,15,D,RFX-related factors{3.3.3},5992,RFX4_HUMAN,3.3.3
RFX5_HUMAN.H11MO.0.A,RFX5_HUMAN.H11MO.0.A,RFX5,RFX5,20,A,RFX-related factors{3.3.3},5993,RFX5_HUMAN,3.3.3
RFX5_HUMAN.H11MO.1.A,RFX5_HUMAN.H11MO.1.A,RFX5,RFX5,11,A,RFX-related factors{3.3.3},5993,RFX5_HUMAN,3.3.3
RHXF1_HUMAN.H11MO.0.D,RHXF1_HUMAN.H11MO.0.D,RHOXF1,RHOXF1,11,D,Paired-related HD factors{3.1.3},158800,RHXF1_HUMAN,3.1.3
RORA_HUMAN.H11MO.0.C,RORA_HUMAN.H11MO.0.C,RORA,RORA,13,C,Thyroid hormone receptor-related factors (NR1){2.1.2},6095,RORA_HUMAN,2.1.2
RORG_HUMAN.H11MO.0.C,RORG_HUMAN.H11MO.0.C,RORC,RORC,12,C,Thyroid hormone receptor-related factors (NR1){2.1.2},6097,RORG_HUMAN,2.1.2
RREB1_HUMAN.H11MO.0.D,RREB1_HUMAN.H11MO.0.D,RREB1,RREB1,22,D,Factors with multiple dispersed zinc fingers{2.3.4},6239,RREB1_HUMAN,2.3.4
RUNX1_HUMAN.H11MO.0.A,RUNX1_HUMAN.H11MO.0.A,RUNX1,RUNX1,11,A,Runt-related factors{6.4.1},861,RUNX1_HUMAN,6.4.1
RUNX2_HUMAN.H11MO.0.A,RUNX2_HUMAN.H11MO.0.A,RUNX2,RUNX2,14,A,Runt-related factors{6.4.1},860,RUNX2_HUMAN,6.4.1
RUNX3_HUMAN.H11MO.0.A,RUNX3_HUMAN.H11MO.0.A,RUNX3,RUNX3,10,A,Runt-related factors{6.4.1},864,RUNX3_HUMAN,6.4.1
RXRA_HUMAN.H11MO.0.A,RXRA_HUMAN.H11MO.0.A,RXRA,RXRA,20,A,RXR-related receptors (NR2){2.1.3},6256,RXRA_HUMAN,2.1.3
RXRA_HUMAN.H11MO.1.A,RXRA_HUMAN.H11MO.1.A,RXRA,RXRA,10,A,RXR-related receptors (NR2){2.1.3},6256,RXRA_HUMAN,2.1.3
RXRB_HUMAN.H11MO.0.C,RXRB_HUMAN.H11MO.0.C,RXRB,RXRB,10,C,RXR-related receptors (NR2){2.1.3},6257,RXRB_HUMAN,2.1.3
RXRG_HUMAN.H11MO.0.B,RXRG_HUMAN.H11MO.0.B,RXRG,RXRG,13,B,RXR-related receptors (NR2){2.1.3},6258,RXRG_HUMAN,2.1.3
RX_HUMAN.H11MO.0.D,RX_HUMAN.H11MO.0.D,RAX,RAX,11,D,Paired-related HD factors{3.1.3},30062,RX_HUMAN,3.1.3
SALL4_HUMAN.H11MO.0.B,SALL4_HUMAN.H11MO.0.B,SALL4,SALL4,10,B,Factors with multiple dispersed zinc fingers{2.3.4},57167,SALL4_HUMAN,2.3.4
SCRT1_HUMAN.H11MO.0.D,SCRT1_HUMAN.H11MO.0.D,SCRT1,SCRT1,13,D,More than 3 adjacent zinc finger factors{2.3.3},83482,SCRT1_HUMAN,2.3.3
SCRT2_HUMAN.H11MO.0.D,SCRT2_HUMAN.H11MO.0.D,SCRT2,SCRT2,13,D,More than 3 adjacent zinc finger factors{2.3.3},85508,SCRT2_HUMAN,2.3.3
SHOX2_HUMAN.H11MO.0.D,SHOX2_HUMAN.H11MO.0.D,SHOX2,SHOX2,17,D,Paired-related HD factors{3.1.3},6474,SHOX2_HUMAN,3.1.3
SHOX_HUMAN.H11MO.0.D,SHOX_HUMAN.H11MO.0.D,SHOX,SHOX,17,D,Paired-related HD factors{3.1.3},6473,SHOX_HUMAN,3.1.3
SIX1_HUMAN.H11MO.0.A,SIX1_HUMAN.H11MO.0.A,SIX1,SIX1,14,A,HD-SINE factors{3.1.6},6495,SIX1_HUMAN,3.1.6
SIX2_HUMAN.H11MO.0.A,SIX2_HUMAN.H11MO.0.A,SIX2,SIX2,13,A,HD-SINE factors{3.1.6},10736,SIX2_HUMAN,3.1.6
SMAD1_HUMAN.H11MO.0.D,SMAD1_HUMAN.H11MO.0.D,SMAD1,SMAD1,12,D,SMAD factors{7.1.1},4086,SMAD1_HUMAN,7.1.1
SMAD2_HUMAN.H11MO.0.A,SMAD2_HUMAN.H11MO.0.A,SMAD2,SMAD2,12,A,SMAD factors{7.1.1},4087,SMAD2_HUMAN,7.1.1
SMAD3_HUMAN.H11MO.0.B,SMAD3_HUMAN.H11MO.0.B,SMAD3,SMAD3,12,B,SMAD factors{7.1.1},4088,SMAD3_HUMAN,7.1.1
SMAD4_HUMAN.H11MO.0.B,SMAD4_HUMAN.H11MO.0.B,SMAD4,SMAD4,13,B,SMAD factors{7.1.1},4089,SMAD4_HUMAN,7.1.1
SMCA1_HUMAN.H11MO.0.C,SMCA1_HUMAN.H11MO.0.C,SMARCA1,SMARCA1,12,C,Myb/SANT domain factors{3.5.1},6594,SMCA1_HUMAN,3.5.1
SMCA5_HUMAN.H11MO.0.C,SMCA5_HUMAN.H11MO.0.C,SMARCA5,SMARCA5,15,C,Myb/SANT domain factors{3.5.1},8467,SMCA5_HUMAN,3.5.1
SNAI1_HUMAN.H11MO.0.C,SNAI1_HUMAN.H11MO.0.C,SNAI1,SNAI1,8,C,More than 3 adjacent zinc finger factors{2.3.3},6615,SNAI1_HUMAN,2.3.3
SNAI2_HUMAN.H11MO.0.A,SNAI2_HUMAN.H11MO.0.A,SNAI2,SNAI2,10,A,More than 3 adjacent zinc finger factors{2.3.3},6591,SNAI2_HUMAN,2.3.3
SOX10_HUMAN.H11MO.0.B,SOX10_HUMAN.H11MO.0.B,SOX10,SOX10,16,B,SOX-related factors{4.1.1},6663,SOX10_HUMAN,4.1.1
SOX10_HUMAN.H11MO.1.A,SOX10_HUMAN.H11MO.1.A,SOX10,SOX10,13,A,SOX-related factors{4.1.1},6663,SOX10_HUMAN,4.1.1
SOX11_HUMAN.H11MO.0.D,SOX11_HUMAN.H11MO.0.D,SOX11,SOX11,16,D,SOX-related factors{4.1.1},6664,SOX11_HUMAN,4.1.1
SOX13_HUMAN.H11MO.0.D,SOX13_HUMAN.H11MO.0.D,SOX13,SOX13,8,D,SOX-related factors{4.1.1},9580,SOX13_HUMAN,4.1.1
SOX15_HUMAN.H11MO.0.D,SOX15_HUMAN.H11MO.0.D,SOX15,SOX15,7,D,SOX-related factors{4.1.1},6665,SOX15_HUMAN,4.1.1
SOX17_HUMAN.H11MO.0.C,SOX17_HUMAN.H11MO.0.C,SOX17,SOX17,11,C,SOX-related factors{4.1.1},64321,SOX17_HUMAN,4.1.1
SOX18_HUMAN.H11MO.0.D,SOX18_HUMAN.H11MO.0.D,SOX18,SOX18,19,D,SOX-related factors{4.1.1},54345,SOX18_HUMAN,4.1.1
SOX1_HUMAN.H11MO.0.D,SOX1_HUMAN.H11MO.0.D,SOX1,SOX1,16,D,SOX-related factors{4.1.1},6656,SOX1_HUMAN,4.1.1
SOX21_HUMAN.H11MO.0.D,SOX21_HUMAN.H11MO.0.D,SOX21,SOX21,16,D,SOX-related factors{4.1.1},11166,SOX21_HUMAN,4.1.1
SOX2_HUMAN.H11MO.0.A,SOX2_HUMAN.H11MO.0.A,SOX2,SOX2,13,A,SOX-related factors{4.1.1},6657,SOX2_HUMAN,4.1.1
SOX2_HUMAN.H11MO.1.A,SOX2_HUMAN.H11MO.1.A,SOX2,SOX2,16,A,SOX-related factors{4.1.1},6657,SOX2_HUMAN,4.1.1
SOX3_HUMAN.H11MO.0.B,SOX3_HUMAN.H11MO.0.B,SOX3,SOX3,11,B,SOX-related factors{4.1.1},6658,SOX3_HUMAN,4.1.1
SOX4_HUMAN.H11MO.0.B,SOX4_HUMAN.H11MO.0.B,SOX4,SOX4,12,B,SOX-related factors{4.1.1},6659,SOX4_HUMAN,4.1.1
SOX5_HUMAN.H11MO.0.C,SOX5_HUMAN.H11MO.0.C,SOX5,SOX5,8,C,SOX-related factors{4.1.1},6660,SOX5_HUMAN,4.1.1
SOX7_HUMAN.H11MO.0.D,SOX7_HUMAN.H11MO.0.D,SOX7,SOX7,16,D,SOX-related factors{4.1.1},83595,SOX7_HUMAN,4.1.1
SOX8_HUMAN.H11MO.0.D,SOX8_HUMAN.H11MO.0.D,SOX8,SOX8,16,D,SOX-related factors{4.1.1},30812,SOX8_HUMAN,4.1.1
SOX9_HUMAN.H11MO.0.B,SOX9_HUMAN.H11MO.0.B,SOX9,SOX9,16,B,SOX-related factors{4.1.1},6662,SOX9_HUMAN,4.1.1
SOX9_HUMAN.H11MO.1.B,SOX9_HUMAN.H11MO.1.B,SOX9,SOX9,9,B,SOX-related factors{4.1.1},6662,SOX9_HUMAN,4.1.1
SP1_HUMAN.H11MO.0.A,SP1_HUMAN.H11MO.0.A,SP1,SP1,22,A,Three-zinc finger Krueppel-related factors{2.3.1},6667,SP1_HUMAN,2.3.1
SP1_HUMAN.H11MO.1.A,SP1_HUMAN.H11MO.1.A,SP1,SP1,14,A,Three-zinc finger Krueppel-related factors{2.3.1},6667,SP1_HUMAN,2.3.1
SP2_HUMAN.H11MO.0.A,SP2_HUMAN.H11MO.0.A,SP2,SP2,22,A,Three-zinc finger Krueppel-related factors{2.3.1},6668,SP2_HUMAN,2.3.1
SP2_HUMAN.H11MO.1.B,SP2_HUMAN.H11MO.1.B,SP2,SP2,12,B,Three-zinc finger Krueppel-related factors{2.3.1},6668,SP2_HUMAN,2.3.1
SP3_HUMAN.H11MO.0.B,SP3_HUMAN.H11MO.0.B,SP3,SP3,20,B,Three-zinc finger Krueppel-related factors{2.3.1},6670,SP3_HUMAN,2.3.1
SP4_HUMAN.H11MO.0.A,SP4_HUMAN.H11MO.0.A,SP4,SP4,20,A,Three-zinc finger Krueppel-related factors{2.3.1},6671,SP4_HUMAN,2.3.1
SP4_HUMAN.H11MO.1.A,SP4_HUMAN.H11MO.1.A,SP4,SP4,16,A,Three-zinc finger Krueppel-related factors{2.3.1},6671,SP4_HUMAN,2.3.1
SPDEF_HUMAN.H11MO.0.D,SPDEF_HUMAN.H11MO.0.D,SPDEF,SPDEF,14,D,Ets-related factors{3.5.2},25803,SPDEF_HUMAN,3.5.2
SPI1_HUMAN.H11MO.0.A,SPI1_HUMAN.H11MO.0.A,SPI1,SPI1,17,A,Ets-related factors{3.5.2},6688,SPI1_HUMAN,3.5.2
SPIB_HUMAN.H11MO.0.A,SPIB_HUMAN.H11MO.0.A,SPIB,SPIB,17,A,Ets-related factors{3.5.2},6689,SPIB_HUMAN,3.5.2
SPIC_HUMAN.H11MO.0.D,SPIC_HUMAN.H11MO.0.D,SPIC,SPIC,13,D,Ets-related factors{3.5.2},121599,SPIC_HUMAN,3.5.2
SPZ1_HUMAN.H11MO.0.D,SPZ1_HUMAN.H11MO.0.D,SPZ1,SPZ1,16,D,,84654,SPZ1_HUMAN,
SRBP1_HUMAN.H11MO.0.A,SRBP1_HUMAN.H11MO.0.A,SREBF1,SREBF1,11,A,bHLH-ZIP factors{1.2.6},6720,SRBP1_HUMAN,1.2.6
SRBP2_HUMAN.H11MO.0.B,SRBP2_HUMAN.H11MO.0.B,SREBF2,SREBF2,13,B,bHLH-ZIP factors{1.2.6},6721,SRBP2_HUMAN,1.2.6
SRF_HUMAN.H11MO.0.A,SRF_HUMAN.H11MO.0.A,SRF,SRF,18,A,Responders to external signals (SRF/RLM1){5.1.2},6722,SRF_HUMAN,5.1.2
SRY_HUMAN.H11MO.0.B,SRY_HUMAN.H11MO.0.B,SRY,SRY,9,B,SOX-related factors{4.1.1},6736,SRY_HUMAN,4.1.1
STA5A_HUMAN.H11MO.0.A,STA5A_HUMAN.H11MO.0.A,STAT5A,STAT5A,10,A,STAT factors{6.2.1},6776,STA5A_HUMAN,6.2.1
STA5B_HUMAN.H11MO.0.A,STA5B_HUMAN.H11MO.0.A,STAT5B,STAT5B,12,A,STAT factors{6.2.1},6777,STA5B_HUMAN,6.2.1
STAT1_HUMAN.H11MO.0.A,STAT1_HUMAN.H11MO.0.A,STAT1,STAT1,19,A,STAT factors{6.2.1},6772,STAT1_HUMAN,6.2.1
STAT1_HUMAN.H11MO.1.A,STAT1_HUMAN.H11MO.1.A,STAT1,STAT1,19,A,STAT factors{6.2.1},6772,STAT1_HUMAN,6.2.1
STAT2_HUMAN.H11MO.0.A,STAT2_HUMAN.H11MO.0.A,STAT2,STAT2,19,A,STAT factors{6.2.1},6773,STAT2_HUMAN,6.2.1
STAT3_HUMAN.H11MO.0.A,STAT3_HUMAN.H11MO.0.A,STAT3,STAT3,12,A,STAT factors{6.2.1},6774,STAT3_HUMAN,6.2.1
STAT4_HUMAN.H11MO.0.A,STAT4_HUMAN.H11MO.0.A,STAT4,STAT4,11,A,STAT factors{6.2.1},6775,STAT4_HUMAN,6.2.1
STAT6_HUMAN.H11MO.0.B,STAT6_HUMAN.H11MO.0.B,STAT6,STAT6,11,B,STAT factors{6.2.1},6778,STAT6_HUMAN,6.2.1
STF1_HUMAN.H11MO.0.B,STF1_HUMAN.H11MO.0.B,NR5A1,NR5A1,11,B,FTZ-F1-related receptors (NR5){2.1.5},2516,STF1_HUMAN,2.1.5
SUH_HUMAN.H11MO.0.A,SUH_HUMAN.H11MO.0.A,RBPJ,RBPJ,11,A,CSL-related factors{6.1.4},3516,SUH_HUMAN,6.1.4
TAF1_HUMAN.H11MO.0.A,TAF1_HUMAN.H11MO.0.A,TAF1,TAF1,16,A,TCF-7-related factors{4.1.3},6872,TAF1_HUMAN,4.1.3
TAL1_HUMAN.H11MO.0.A,TAL1_HUMAN.H11MO.0.A,TAL1,TAL1,19,A,Tal-related factors{1.2.3},6886,TAL1_HUMAN,1.2.3
TAL1_HUMAN.H11MO.1.A,TAL1_HUMAN.H11MO.1.A,TAL1,TAL1,15,A,Tal-related factors{1.2.3},6886,TAL1_HUMAN,1.2.3
TBP_HUMAN.H11MO.0.A,TBP_HUMAN.H11MO.0.A,TBP,TBP,10,A,TBP-related factors{8.1.1},6908,TBP_HUMAN,8.1.1
